row_id,Category Code,SPECS
1,[1163111820],"{'[Type]': '[Tear Away Safety]', '[Size]': '[One]', '[Material]': '[Polyester Jersey Mesh]'}"
2,[1130240000],"{'[Size]': '[One Size]', '[Lens Color]': '[Clear]', '[Frame Material]': '[Polycarbonate]', '[Temple Style]': '[Non-Slip]'}"
3,[1011120000],"{'[Type]': '[Narrow Face Crimped]', '[Series]': '[TLN-4]', '[Brush Diameter]': '[4 | in]', '[Face Width]': '[1/2 | in]', '[Arbor Hole Size]': '[1/2 to 3/8 | in]', '[Filament/Wire Type]': '[Crimped]', '[Filament/Wire Diameter]': '[0.0118 | in]', '[Fill Material]': '[Steel]', '[Trim Length]': '[7/8 | in]', '[Maximum Speed]': '[12500 | rpm]', '[Attachment Type]': '[Arbor Hole]'}"
4,[341329000000],"{'[Type]': '[Square]', '[Series]': '[SMD4]', '[Voltage Rating]': '[120 | V]', '[Fixture Wattage]': '[9.5 | W]', '[Amperage Rating]': '[0.079 | A]', '[Lighting Technology]': '[seleCCTable®]', '[Lamp Type]': '[LED]', '[Lamp Base Type]': '[Edison]', '[Light Output]': '[81 | Lumens/W]', '[Average Life]': '[50000 | hrs]', '[Color Temperature]': '[2700, 3000, 3500, 4000, 5000 | K]', '[Color Rendering Index (CRI)]': '[90]', '[Ballast Type]': '[5% Dimming]', '[Lens Type]': '[Diffused Polystyrene]', '[Lumens]': '[741 | Lumens]', '[Insulation Type]': '[Spray Foam]', '[Mounting Type]': '[Surface]', '[Housing Material]': '[Aluminum]', '[Housing Finish]': '[Matte White]', '[Dimensions]': '[15/16 in H x 5-15/16 in W x 5-15/16 in L]'}"
5,[1015230000],"{'[Type]': '[T Special Abrasive]', '[Series]': '[SMT 950 T Special]', '[Specifications]': '[40 Grit]', '[Material]': '[Stainless Steel/Steel]', '[Dimensions]': '[4.5 in Dia]'}"
6,[341537000000],"{'[Series]': '[PR8]', '[Suitable For Use With]': '[Designed for commercial or residential use]', '[Material]': '[Steel, Aluminum]', '[Finish]': '[Galvanized]', '[Color]': '[Matte White]', '[Dimensions]': '[8.25 in H x 14.25 in W x 16 in L]'}"
7,[341342000000],"{'[Series]': '[EU-LED]', '[Voltage Rating]': '[120 | V]', '[Fixture Wattage]': '[14 | W]', '[Lamp Type]': '[LED]', '[Average Life]': '[50000 | hrs]', '[Color Temperature]': '[3000/3500/4100 | K]', '[Color Rendering Index (CRI)]': '[90]', '[Ballast Type]': '[TRIAC]', '[Lens Type]': '[Polycarbonate]', '[Lumens]': '[1130 | Lumens]', '[Housing Material]': '[Steel]', '[Housing Finish]': '[Polyester Powder Coated/White]', '[Dimensions]': '[1-5/8 in H x 3-1/2 in W x 34 in L]'}"
8,[342016000000],"{'[Type]': '[Round Fixture]', '[Series]': '[RL412]', '[Voltage Rating]': '[120 | V]', '[Lamp Type]': '[LED]', '[Lamp Wattage]': '[8 | W]', '[Ceiling Opening]': '[4 | in]', '[Average Life]': '[50000 | hrs]', '[Color Temperature]': '[2700, 3000, 3500, 4000, 5000 | K]', '[Color Rendering Index (CRI)]': '[90]', '[Ballast Type]': '[Triac Dimming]', '[Lumens]': '[550 | Lumens]', '[Mounting Type]': '[Ceiling]', '[Housing Material]': '[Die-Cast Aluminum]'}"
9,[341121000000],"{'[Type]': '[Recessed]', '[Series]': '[ELX-606]', '[Voltage Rating]': '[120 to 277 | V]', '[Lighting Technology]': '[LED]', '[Legend]': '[EXIT]', '[Lamp Type]': '[LED]', '[Lamp Wattage]': '[3, 5 | W]', '[Average Life]': '[219000 | hrs]', '[Light Color]': '[Red]', '[Mounting Type]': '[Ceiling/Recessed/Wall]', '[Power Source]': '[Nickel-Cadmium Battery]', '[Housing Material]': '[Aluminum]', '[Housing Finish]': '[Natural Aluminum]', '[Dimensions]': '[10-9/16 in H x 14-9/16 in W x 5-7/16 in D]'}"
10,[341820000000],"{'[Series]': '[OVR-101-LED]', '[Voltage Rating]': '[120 to 277 | VAC]', '[Fixture Wattage]': '[27, 40, 60 | W]', '[Lamp Type]': '[LED]', '[Light Output]': '[130 | Lumens/W]', '[Color Temperature]': '[4000 | K]', '[Color Rendering Index (CRI)]': '[70]', '[Ballast Type]': '[0 to 10 V Dimming]', '[Lumens]': '[6000 | Lumens]', '[Housing Material]': '[Die-Cast Aluminum]', '[Housing Finish]': '[White]', '[Dimensions]': '[9.52 in H x 9.52 in W x 3.19 in D]'}"
