row_id,Category Code
1,[1163111820]
2,[1130240000]
3,[1011120000]
4,[341329000000]
5,[1015230000]
6,[341537000000]
7,[341342000000]
8,[342016000000]
9,[341121000000]
10,[341820000000]
11,[331525000000]
12,[2525230000]
13,[341343000000]
14,[1010130000]
15,[341114000000]
16,[1010120000]
17,[1012110000]
18,[341321000000]
19,[341319000000]
20,[341835000000]
21,[331412000000]
22,[1163111814]
23,[331428000000]
24,[2822220000]
25,[373326000000]
26,[1112110000]
27,[1163111814]
28,[331428000000]
29,[1010120000]
30,[341117000000]
31,[3622210000]
32,[341321000000]
33,[1010130000]
34,[341319000000]
35,[341124000000]
36,[341835000000]
37,[342310000000]
38,[342012000000]
39,[342014000000]
40,[1112110000]
41,[1012150000]
42,[341827000000]
43,[1010120000]
44,[331422000000]
45,[341331000000]
46,[1010281200]
47,[341811000000]
48,[1012110000]
49,[341330000000]
50,[342014000000]
51,[341114000000]
52,[1012130000]
53,[1112130000]
54,[1015240000]
55,[321719000000]
56,[342310000000]
57,[331525000000]
58,[341110000000]
59,[342016000000]
60,[342016000000]
61,[341820000000]
62,[2525230000]
63,[341830000000]
64,[1012150000]
65,[1015110000]
66,[1146150000]
67,[1015160000]
68,[1112140000]
69,[3622210000]
70,[1014150000]
71,[342012000000]
72,[1146150000]
73,[3418130000000]
74,[341832000000]
75,[342310000000]
76,[1015110000]
77,[1112140000]
78,[1012150000]
79,[1015110000]
80,[1012150000]
81,[1112140000]
82,[1112110000]
83,[341832000000]
84,[342012000000]
85,[1010140000]
86,[1913420000]
87,[341835000000]
88,[1146150000]
89,[3622210000]
90,[342310000000]
91,[1011120000]
92,[1130240000]
93,[373326000000]
94,[1024101000]
95,[342013000000]
96,[341121000000]
97,[341524000000]
98,[341815000000]
99,[232412000000]
100,[341342000000]
101,[341837000000]
102,[341343000000]
103,[341537000000]
104,[1010170000]
105,[1010120000]
106,[331422000000]
107,[341811000000]
108,[1163111814]
109,[2822220000]
110,[1010281200]
111,[341321000000]
112,[341114000000]
113,[341827000000]
114,[341315000000]
115,[341331000000]
116,[342010000000]
117,[1012110000]
118,[373326000000]
119,[1012130000]
120,[341339000000]
121,[331525000000]
122,[2525230000]
123,[341820000000]
124,[1112140000]
125,[1146150000]
126,[1015110000]
127,[1015160000]
128,[341318000000]
129,[341342000000]
130,[341524000000]
131,[1015230000]
132,[342013000000]
133,[341121000000]
134,[341520000000]
135,[341837000000]
136,[341343000000]
137,[373326000000]
138,[1011120000]
139,[1130240000]
140,[1024101000]
141,[1112110000]
142,[1012150000]
143,[341540000000]
144,[342012000000]
145,[1163111814]
146,[1010130000]
147,[342310000000]
148,[341835000000]
149,[3622210000]
150,[341321000000]
151,[341540000000]
152,[1112110000]
153,[1112140000]
154,[1012150000]
155,[342310000000]
156,[3622210000]
157,[341832000000]
158,[342012000000]
159,[1137130000]
160,[341835000000]
161,[341336000000]
162,[1010140000]
163,[341530000000]
164,[1010170000]
165,[341524000000]
166,[341815000000]
167,[331211000000]
168,[1010281200]
169,[341330000000]
170,[341827000000]
171,[342014000000]
172,[341526000000]
173,[1024101000]
174,[1015240000]
175,[1112130000]
176,[1012130000]
177,[342013000000]
178,[1010281200]
179,[341526000000]
180,[341524000000]
181,[341815000000]
182,[331424000000]
183,[1010170000]
184,[341330000000]
185,[1024101000]
186,[1112130000]
187,[1015240000]
188,[1015240000]
189,[1112130000]
190,[1130240000]
191,[1024101000]
192,[341330000000]
193,[342016000000]
194,[341815000000]
195,[341121000000]
196,[342013000000]
197,[341343000000]
198,[1010170000]
199,[341537000000]
200,[341614000000]
201,[341524000000]
202,[1010170000]
203,[341114000000]
204,[341526000000]
205,[341815000000]
206,[341827000000]
207,[1012110000]
208,[342014000000]
209,[303725000000]
210,[341330000000]
211,[1010281200]
212,[341331000000]
213,[1015240000]
214,[1012130000]
215,[1112130000]
216,[1010190000]
217,[342016000000]
218,[342013000000]
219,[1010190000]
220,[341837000000]
221,[182042000000]
222,[341342000000]
223,[341318000000]
224,[341524000000]
225,[341336000000]
226,[341121000000]
227,[1015230000]
228,[1011120000]
229,[1130210000]
230,[1130240000]
231,[1012110000]
232,[1010281200]
233,[331614000000]
234,[1010170000]
235,[342014000000]
236,[341526000000]
237,[341827000000]
238,[341330000000]
239,[341815000000]
240,[1012130000]
241,[1112130000]
242,[1024101000]
243,[1015240000]
244,[373326000000]
245,[1112110000]
246,[331428000000]
247,[331419000000]
248,[342012000000]
249,[341114000000]
250,[341319000000]
251,[1010120000]
252,[341321000000]
253,[342014000000]
254,[3622210000]
255,[1010130000]
256,[341835000000]
257,[341113000000]
258,[1163111814]
259,[341342000000]
260,[1015230000]
261,[1010190000]
262,[342016000000]
263,[341329000000]
264,[341837000000]
265,[341121000000]
266,[331525000000]
267,[341537000000]
268,[341820000000]
269,[341336000000]
270,[1130210000]
271,[1130240000]
272,[1011120000]
273,[2525230000]
274,[331525000000]
275,[341329000000]
276,[341537000000]
277,[341343000000]
278,[341820000000]
279,[1015230000]
280,[1015110000]
281,[1146150000]
282,[1112140000]
283,[1163111811]
284,[1011120000]
285,[1015110000]
286,[341342000000]
287,[331525000000]
288,[342010000000]
289,[1015230000]
290,[341537000000]
291,[2525230000]
292,[341329000000]
293,[341820000000]
294,[341343000000]
295,[1012130000]
296,[373326000000]
297,[341114000000]
298,[341315000000]
299,[341827000000]
300,[1163111814]
301,[1623210000]
302,[1010120000]
303,[341321000000]
304,[1012110000]
305,[331422000000]
306,[341811000000]
307,[2822220000]
